PayloadMass
6123.547647058824
525.0
677.0
500.0
3170.0
3325.0
2296.0
1316.0
4535.0
4428.0
2216.0
2395.0
570.0
1898.0
4707.0
2477.0
2034.0
553.0
5271.0
3136.0
4696.0
3100.0
2257.0
4600.0
5500.0
9600.0
2490.0
5600.0
5300.0
6123.547647058824
6070.0
2708.0
3669.0
9600.0
6761.0
2910.0
475.0
4990.0
9600.0
5200.0
3700.0
2205.0
9600.0
6123.547647058824
4230.0
6092.0
9600.0
2760.0
350.0
3750.0
5383.85
2410.0
7076.0
9600.0
5800.0
7060.0
2800.0
3000.0
4000.0
2573.0
4400.0
9600.0
12259.0
2482.0
13200.0
1425.0
2227.7
6500.0
15600.0
5000.0
6800.0
15600.0
6123.547647058824
15600.0
15600.0
1977.0
15600.0
15600.0
9525.0
15600.0
15600.0
3880.0
6123.547647058824
15600.0
1600.0
15600.0
15600.0
15600.0
15600.0
3681.0
